"105","SCRUM","2019-02-01","2019-08-31","Windows 10 - 64bits, Linux OS, Android, Browser: Google Chrome, Windows 10 - 64bits - Internet Explorer 11, Windows 10 - 64bits - Chrome 74, Windows 10 - 32bits - Internet Explorer 11, Windows 8.1 - 64bits - Internet Explorer 11, Windows 8.1 - 32bits - Internet Explorer 11, Windows 7 - 32bits - Internet Explorer 11","77, 44, 353, 250, 202, 399, 398, 362, 349, 282, 145, 143, 154, 205, 79, 508","mateus, adelito.farias, marcelo.fernandes, renato.ramiro, wendley.franca, naylla.estrela, robson.sousa, tony.cavalcanti, igor.silva, joao.matos, carlos.vieira, felipe.silva, jose.caitano, franklin.bastos, pedro.passos, Rafael.Ramos","iOS, IOT, RESTful APIs, JavaScript, JSON"
"106","SCRUM","2019-02-04","2021-06-30","Web - Chrome, Android, Web - Firefox","241, 62, 82, 401, 402, 200, 56, 441, 445, 524, 283, 491, 484, 7, 477, 270, 351, 29","jonhnanthan.oliveira, bruno.clementino, edney.oliveira, antonio.dantas, luma.nascimento, catharine.bezerra, ahemenson.cavalcante, gessica.silva, gilmar.batista, augusto.oliveira, matheus.barbosa, ext-alef.oliveira, emilayne.corlett, bruno.winkeler, Thales.Souto, John.Lima, Waldemar.Coimbra, Ted.Medeiros","Web, iOS, MongoDB"
"107","SCRUM","2019-02-01","2019-12-31","Windows, Ubuntu18.04, Fedora30","94, 348, 209","wagner.leal, joao.antonio, Renata.Saraiva",""
"108","SCRUM","2019-02-01","2019-07-31","","77, 282, 399, 349, 398, 353, 362, 44, 250, 202, 205, 154","mateus, marcelo.fernandes, renato.ramiro, wendley.franca, naylla.estrela, robson.sousa, tony.cavalcanti, igor.silva, joao.matos, carlos.vieira, felipe.silva, pedro.passos","IOT, iOS"
"109","SCRUM","2019-03-01","2020-04-30","StackV1","236, 227, 226, 235, 229, 228, 225, 435, 50","jemerson.damasio, Marsell.Senko, maria.henrique, pedro.mello, diego.pereira, deyvison.oliveira, josimar.almeida, isaac.santos, ewerton.silva",""
"111","SCRUM","2019-02-01","2021-03-31","Chrome 72.0, Chrome 75.0, Chrome 77.0, Chrome 78.0","222, 420, 421, 247","emilio.farias, normando.carvalho, diogo.lima, jonatah.braz",""
"112","SCRUM","2019-02-01","2019-12-31","Browser: Chrome 74.0.3729.108, Browser: Firefox 66.0.5, Browser: Microsoft Edge 44.17763.1.0, Browser: Internet Explorer 11.437.17763.0, Browser: Safari 5.1.7, Electron, Desktop","222, 7, 211","luma.nascimento, artur.farias, normando.carvalho",""
"113","SCRUM","2019-01-01","2019-12-31","Linux - Firefox, Linux - Chrome, Windows - Firefox, Windows - Chrome","291, 38, 119, 152, 161, 366, 197, 209, 53, 97","paulo.lira, amanda.fabricio, nathane.silva, ulysses.gomes, odravison.amaral, eline.macedo, fagner.martins, Leonardo.Santos, vladwoguer.bezerra, Renata.Saraiva","Mobile, JavaScript, RESTful APIs, iOS"
"114","SCRUM","2018-12-01","2019-12-31","Browser: Chrome (75+), Browser: Firefox (69+), Browser: Microsoft Edge, Browser: Apple Safari, ONU 110 B (1.0-190918), ONT 142 NW (version com pach), ONT 121 W (version com pach), Chrome (75+)/ Firefox (69+)","180, 161, 53, 389, 392, 390, 336, 434, 439, 136, 391, 291, 119, 472","amanda.fabricio, nathane.silva, Leonardo.Santos, Newton.fonseca, vladwoguer.bezerra, walter.guerra, fabiano.miranda, fernando.vita, jose.nascimento, ext-denis.fernandes, Anderson.pereira, epx, leandro.silva, Galileu.Araújo","Mobile, JavaScript"
"115","SCRUM","2019-04-01","2020-04-30","Android 9, Android 8, Android 7, Android 5","16, 45, 367, 18, 351, 494, 174, 374, 183, 387","giuan.araujo, geraldo.lima, israel.cunha, arthur.navarro, arkjoaquitonyo, catharine.bezerra, victor.batista, renan.barbosa, gabriel.lemos, Lucas.Furtado","iOS"
